id;Borough;ZIP.CODE;LATITUDE;LONGITUDE;LOCATION;ON.STREET.NAME;CROSS.STREET.NAME;OFF.STREET.NAME;Persons injured;Persons killed;Pedestrians injured;Pedestrians killed;Cyclist injured;Cyclist killed;Motorist injured;Motorist killed;CONTRIBUTING.FACTOR.VEHICLE.1;CONTRIBUTING.FACTOR.VEHICLE.2;CONTRIBUTING.FACTOR.VEHICLE.3;CONTRIBUTING.FACTOR.VEHICLE.4;CONTRIBUTING.FACTOR.VEHICLE.5;UNIQUE.KEY;Vehicle type1;Vehicle type2;Vehicle type3;Vehicle type4;Vehicle type5;datetime;location2;Number accidents
17356;QUEENS;11434;40.6783648;-73.7794791;(40.6783648, -73.7794791);brewer boulevard;baisley boulevard;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3456609;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-05 21:00:00;40.6783648 -73.7794791;1
15077;QUEENS;11361;40.756952000000005;-73.7705416;(40.756952, -73.7705416);211th street;46th road;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3458864;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-08 14:45:00;40.756952 -73.7705416;1
4679;MANHATTAN;10002;40.7161106;-73.9929982;(40.7161106, -73.9929982);;;54 ELDRIDGE STREET                      ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3468525;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-25 21:36:00;40.7161106 -73.9929982;1
10556;BROOKLYN;11217;40.6877731;-73.9870011;(40.6877731, -73.9870011);atlantic avenue;hoyt street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3462935;PASSENGER VEHICLE;;;;;2016-06-16 12:20:00;40.6877731 -73.9870011;1
1933;BROOKLYN;11223;40.591444200000005;-73.9817594;(40.5914442, -73.9817594);;;63 AVENUE W                             ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3471393;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-29 18:30:00;40.5914442 -73.9817594;1
14187;BROOKLYN;11223;40.5935052;-73.97988649999999;(40.5935052, -73.9798865);west 9th street;86th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3459745;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-10 09:00:00;40.5935052 -73.9798865;1
872;BROOKLYN;11217;40.680494700000004;-73.974874;(40.6804947, -73.974874);;;236 FLATBUSH AVENUE                     ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3471594;SMALL COM VEH(4 TIRES) ;PASSENGER VEHICLE;;;;2016-06-30 11:35:00;40.6804947 -73.974874;1
12851;QUEENS;11417;40.6807;-73.8446429;(40.6807, -73.8446429);woodhaven boulevard;rockaway boulevard;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3460836;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-12 17:15:00;40.6807 -73.8446429;1
3116;MANHATTAN;10032;40.834114;-73.941118;(40.834114, -73.941118);amsterdam avenue;west 159th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3475482;PASSENGER VEHICLE;OTHER;;;;2016-06-27 14:59:00;40.834114 -73.941118;1
17496;BROOKLYN;11233;40.678116499999994;-73.9078565;(40.6781165, -73.9078565);fulton street;eastern parkway;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3455028;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-04 00:20:00;40.6781165 -73.9078565;1
3376;QUEENS;11413;40.6818455;-73.7500901;(40.6818455, -73.7500901);132 road;218th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3469992;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-27 20:49:00;40.6818455 -73.7500901;1
18414;BROOKLYN;11207;40.675735700000004;-73.89685329999999;(40.6757357, -73.8968533);pennsylvania avenue;atlantic avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3474992;PASSENGER VEHICLE;SMALL COM VEH(4 TIRES) ;;;;2016-06-03 17:15:00;40.6757357 -73.8968533;1
18969;BRONX;10453;40.854311700000004;-73.9069003;(40.8543117, -73.9069003);jerome avenue;east 181st street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;Unspecified;;;3454455;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;;;2016-06-02 13:53:00;40.8543117 -73.9069003;1
13829;QUEENS;11433;40.691968200000005;-73.78250279999999;(40.6919682, -73.7825028);sayres avenue;168th street;                                        ;4;0;0;0;0;0;4;0;Unspecified;Unspecified;;;;3460005;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-10 16:11:00;40.6919682 -73.7825028;1
11337;QUEENS;11436;40.6735721;-73.792574;(40.6735721, -73.792574);inwood street;rockaway boulevard;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3462448;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-15 14:50:00;40.6735721 -73.792574;1
17575;QUEENS;11356;40.781662700000005;-73.8344413;(40.7816627, -73.8344413);;;134-01 20 AVENUE                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3455551;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-04 12:30:00;40.7816627 -73.8344413;1
5709;BROOKLYN;11225;40.6680307;-73.9497465;(40.6680307, -73.9497465);;;1217 PRESIDENT STREET                   ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3466793;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-23 10:45:00;40.6680307 -73.9497465;1
14508;BROOKLYN;11206;40.707654999999995;-73.9398375;(40.707655, -73.9398375);bushwick avenue;montrose avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3459433;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-09 16:45:00;40.707655 -73.9398375;1
1317;MANHATTAN;10003;40.7328063;-73.986047;(40.7328063, -73.986047);;;250 EAST 14 STREET                      ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3471922;PASSENGER VEHICLE;SMALL COM VEH(4 TIRES) ;;;;2016-06-30 20:40:00;40.7328063 -73.986047;1
